"NOP_method","CC_method","ATFD_method","FDP_method","CM_method","MAXNESTING_method","LOC_method","CYCLO_method","NMCS_method","NOLV_method","MaMCL_method","NOAV_method","LAA_method","FANOUT_method","CFNAMM_method","ATLD_method","CLNAMM_method","CINT_method","MeMCL_method","CDISP_method","NOII_type","NOAM_type","NOCS_type","NOM_type","NMO_type","ATFD_type","FANOUT_type","NOMNAMM_type","NOA_type","NIM_type","DIT_type","LOC_type","LOCNAMM_type","CFNAMM_type","TCC_type","NOPA_type","CBO_type","RFC_type","NOC_type","WMC_type","LCOM5_type","WOC_type","WMCNAMM_type","AMW_type","AMWNAMM_type","NOCS_package","NOMNAMM_package","NOI_package","LOC_package","NOM_package","NOPK_project","NOCS_project","NOI_project","NOM_project","NOMNAMM_project","LOC_project","is_switch_statements"
0,0,"0.0","0.0",0,2,6,3,0,0,0,"1.0","1.0",0,1,"1.0",0,0,0,0,0,8,0,30,"12.0",4,10,22,8,"111.0","3.0",377,310,1214,0.0571428571428571,0,32,208,"0.0",61,0.943965517241379,"0.681818181818182",51,2.03333333333333,2.31818181818182,38,198,0,4223,240,43,849,78,5788,4778,65687,"false"
0,0,"0.0","0.0",0,1,3,1,0,0,0,"6.0","0.0",0,0,"0.0",0,0,0,0,0,2,1,16,"0.0",7,10,14,6,"8.0","3.0",197,179,640,0.305555555555556,0,10,41,"0.0",31,0.855555555555556,"1.0",28,1.9375,2,4,27,0,516,29,43,849,78,5788,4778,65687,"false"
1,1,"0.0","0.0",1,1,3,1,0,1,0,"2.0","1.0",0,0,"1.0",0,0,0,0,1,1,0,5,"0.0",3,6,4,2,"0.0","1.0",66,44,77,0.5,0,9,18,"0.0",10,0.75,"0.75",8,2,2,17,82,1,906,90,43,849,78,5788,4778,65687,"false"
2,1,"0.0","0.0",1,1,3,1,0,2,0,"2.0","0.0",0,1,"0.0",0,0,0,0,1,0,0,1,"0.0",0,0,1,0,"4.0","3.0",9,9,3,1,0,3,6,"0.0",1,0,"1.0",1,1,1,34,523,11,6037,728,43,849,78,5788,4778,65687,"false"
1,0,"0.0","0.0",0,2,8,2,0,2,0,"1.0","0.0",0,0,"0.0",0,0,0,0,0,0,13,71,"0.0",4,14,71,5,"0.0","1.0",1327,1327,1192,0.000426257459505541,2,8,96,"0.0",186,1,"0.971830985915493",186,2.61971830985915,2.61971830985915,50,388,3,8258,437,43,849,78,5788,4778,65687,"false"
1,0,"0.0","0.0",0,1,3,1,0,1,0,"3.0","1.0",0,0,"3.0",0,0,0,0,1,0,0,9,"0.0",5,9,9,4,"17.0","3.0",77,77,152,0.166666666666667,0,12,30,"0.0",12,0.9375,"1.0",12,1.33333333333333,1.33333333333333,74,380,4,5031,435,43,849,78,5788,4778,65687,"false"
0,1,"0.0","0.0",1,1,3,1,0,0,0,"1.0","1.0",0,1,"1.0",0,0,0,0,0,2,0,12,"1.0",1,1,10,4,"5.0","2.0",86,74,80,0.527272727272727,1,4,22,"0.0",20,0.818181818181818,"0.769230769230769",18,1.66666666666667,1.8,18,108,8,1339,136,43,849,78,5788,4778,65687,"false"
1,2,"0.0","0.0",2,1,4,1,0,1,0,"2.0","1.0",0,0,"1.0",0,0,0,0,1,2,0,5,"0.0",0,1,3,1,"0.0","1.0",27,17,6,0,0,1,6,"0.0",5,1,"0.6",3,1,1,30,76,2,1343,128,43,849,78,5788,4778,65687,"false"
0,0,"0.0","0.0",0,2,18,1,0,0,0,"2.0","1.0",2,4,"1.0",0,2,0,1,0,7,4,14,"0.0",0,2,7,14,"539.0","6.0",271,114,108,0,2,2,16,"0.0",26,0.934065934065934,"0.333333333333333",13,1.85714285714286,1.85714285714286,10,35,0,646,47,43,849,78,5788,4778,65687,"false"
1,1,"0.0","0.0",1,3,18,4,0,2,0,"6.0","1.0",2,8,"4.0",0,4,0,0.5,0,2,4,12,"0.0",2,12,10,12,"536.0","6.0",239,227,358,0.416666666666667,0,13,37,"0.0",20,0.931818181818182,"1.0",18,1.66666666666667,1.8,23,60,1,1234,72,43,849,78,5788,4778,65687,"false"
