"numberOfVersionsUntil.","numberOfFixesUntil.","numberOfRefactoringsUntil.","numberOfAuthorsUntil.","linesAddedUntil.","maxLinesAddedUntil.","avgLinesAddedUntil.","linesRemovedUntil.","maxLinesRemovedUntil.","avgLinesRemovedUntil.","codeChurnUntil.","maxCodeChurnUntil.","avgCodeChurnUntil.","ageWithRespectTo.","weightedAgeWithRespectTo.","bugs"
65,4,0,8,608,158,9.35385,566,158,8.70769,42,15,0.646154,350.571,63.0609,"false"
2,0,0,2,10,10,5,0,0,0,10,10,5,117.714,0,"false"
120,10,0,12,1361,99,11.3417,768,77,6.4,593,66,4.94167,238.429,104.204,"true"
28,4,0,5,138,39,4.92857,123,39,4.39286,15,23,0.535714,367,112.678,"false"
93,17,0,8,1870,684,20.1075,1881,692,20.2258,-11,18,-0.11828,367,54.9702,"false"
16,5,0,5,37,6,2.3125,17,6,1.0625,20,4,1.25,264.857,48.8224,"false"
30,5,0,5,535,142,17.8333,74,13,2.46667,461,142,15.3667,226,3.2259,"false"
7,6,0,2,14,7,2,29,27,4.14286,-15,4,-2.14286,150.714,12.1531,"false"
52,5,0,7,1075,343,20.6731,889,343,17.0962,186,68,3.57692,367,81.1875,"false"
23,5,0,6,122,42,5.30435,138,42,6,-16,16,-0.695652,367,84.4309,"false"
25,8,0,5,228,82,9.12,61,8,2.44,167,74,6.68,229.714,10.4781,"false"
11,4,0,3,193,81,17.5455,12,4,1.09091,181,81,16.4545,222.857,13.1984,"false"
32,7,0,5,219,89,6.84375,207,89,6.46875,12,11,0.375,367,53.9478,"false"
52,3,0,5,991,226,19.0577,633,148,12.1731,358,161,6.88462,367,136.59,"false"
13,2,0,4,91,31,7,49,14,3.76923,42,17,3.23077,175,35.4835,"false"
9,5,0,4,11,5,1.22222,10,5,1.11111,1,1,0.111111,224.857,86.3117,"false"
193,30,0,12,6571,1071,34.0466,6072,1123,31.4611,499,174,2.58549,367,111.711,"true"
12,2,0,5,228,53,19,162,35,13.5,66,40,5.5,193.571,4.72807,"false"
1,0,0,1,0,0,0,0,0,0,0,0,0,7.85714,0,"false"
91,8,0,9,6880,1627,75.6044,5271,1359,57.9231,1609,583,17.6813,236,96.0161,"true"
35,6,0,7,405,155,11.5714,409,155,11.6857,-4,12,-0.114286,367,46.4272,"false"
6,3,0,3,104,49,17.3333,6,4,1,98,49,16.3333,228.857,14.8173,"false"
43,6,0,6,409,105,9.51163,317,110,7.37209,92,79,2.13953,367,133.861,"true"
168,12,0,10,2126,307,12.6548,1719,307,10.2321,407,63,2.42262,367,129.876,"true"
20,4,0,7,115,14,5.75,175,94,8.75,-60,5,-3,244.571,99.8596,"false"
92,12,0,9,2972,319,32.3043,3264,892,35.4783,-292,168,-3.17391,239.143,49.4217,"true"
76,10,0,7,1763,600,23.1974,1852,600,24.3684,-89,43,-1.17105,367,81.0014,"true"
54,8,0,7,740,243,13.7037,669,243,12.3889,71,85,1.31481,367,94.1838,"false"
4,1,0,4,18,17,4.5,7,6,1.75,11,11,2.75,141.714,23.2937,"false"
149,12,0,11,5262,483,35.3154,4660,483,31.2752,602,226,4.04027,367,148.462,"false"
2,1,0,2,1,1,0.5,1,1,0.5,0,0,0,127,69.2857,"false"
10,4,0,3,60,32,6,61,33,6.1,-1,0,-0.1,322.714,97.4809,"false"
47,7,0,5,320,52,6.80851,262,52,5.57447,58,20,1.23404,367,92.4138,"false"
37,6,0,6,284,64,7.67568,258,64,6.97297,26,22,0.702703,367,81.749,"false"
82,7,0,8,2577,325,31.4268,2733,325,33.3293,-156,81,-1.90244,367,77.5985,"true"
29,4,0,5,184,69,6.34483,185,69,6.37931,-1,6,-0.0344828,367,49.3261,"false"
39,14,0,7,465,167,11.9231,264,167,6.76923,201,74,5.15385,333.143,70.569,"false"
7,0,0,1,23,11,3.28571,6,4,0.857143,17,10,2.42857,16,2.03106,"false"
89,9,0,9,2001,399,22.4831,1889,399,21.2247,112,117,1.25843,367,118.103,"true"
81,18,0,9,1835,349,22.6543,1569,379,19.3704,266,79,3.28395,367,130.299,"true"
32,1,0,4,413,92,12.9062,122,26,3.8125,291,80,9.09375,175.714,24.9862,"false"
58,11,0,7,1851,721,31.9138,1730,721,29.8276,121,77,2.08621,367,49.3741,"false"
86,11,0,8,1629,335,18.9419,1535,335,17.8488,94,65,1.09302,367,76.4774,"false"
2,1,0,2,1,1,0.5,1,1,0.5,0,0,0,16.5714,13.5714,"false"
24,5,0,4,167,70,6.95833,174,70,7.25,-7,8,-0.291667,367,66.3601,"false"
11,4,0,6,21,4,1.90909,17,4,1.54545,4,3,0.363636,282,82.7755,"false"
7,2,0,2,139,75,19.8571,28,13,4,111,63,15.8571,9.14286,1.58068,"false"
10,3,0,6,16,5,1.6,28,18,2.8,-12,5,-1.2,271,86.4107,"false"
