"numberOfVersionsUntil.","numberOfFixesUntil.","numberOfRefactoringsUntil.","numberOfAuthorsUntil.","linesAddedUntil.","maxLinesAddedUntil.","avgLinesAddedUntil.","linesRemovedUntil.","maxLinesRemovedUntil.","avgLinesRemovedUntil.","codeChurnUntil.","maxCodeChurnUntil.","avgCodeChurnUntil.","ageWithRespectTo.","weightedAgeWithRespectTo.","bugs"
5,0,0,2,185,95,37,24,20,4.8,161,95,32.2,59.5714,0.96139,"false"
10,1,0,7,22,10,2.2,12,3,1.2,10,10,1,335.286,121.584,"false"
2,0,0,2,8,8,4,15,15,7.5,-7,0,-3.5,103.429,69.2857,"false"
2,0,0,2,10,10,5,18,18,9,-8,0,-4,92.2857,58.1429,"false"
5,0,0,3,14,6,2.8,11,5,2.2,3,2,0.6,183.857,103.633,"false"
75,0,0,5,1019,107,13.5867,1267,559,16.8933,-248,104,-3.30667,188.143,16.434,"false"
410,15,7,8,2715,81,6.62195,1242,326,3.02927,1473,81,3.59268,178.714,68.0586,"true"
10,0,0,5,42,17,4.2,38,18,3.8,4,3,0.4,240.714,115.966,"false"
8,1,1,3,21,10,2.625,20,6,2.5,1,10,0.125,150.429,32.0612,"false"
5,0,0,3,12,8,2.4,51,46,10.2,-39,6,-7.8,85.2857,31.7857,"false"
6,0,0,3,82,50,13.6667,48,42,8,34,50,5.66667,113.286,38.7613,"true"
8,0,0,5,107,49,13.375,82,63,10.25,25,33,3.125,133.571,87.9239,"false"
5,0,0,3,14,8,2.8,10,8,2,4,8,0.8,102,24.8776,"false"
9,0,0,4,79,32,8.77778,53,42,5.88889,26,26,2.88889,144.286,74.7306,"false"
7,0,0,4,314,106,44.8571,131,88,18.7143,183,91,26.1429,186.714,70.7525,"false"
6,1,0,3,94,39,15.6667,7,5,1.16667,87,39,14.5,64,7.75988,"false"
17,1,0,1,44,9,2.58824,13,7,0.764706,31,8,1.82353,49.4286,13.8409,"false"
45,1,1,8,986,179,21.9111,735,150,16.3333,251,91,5.57778,222,104.763,"true"
1,0,0,1,0,0,0,0,0,0,0,0,0,33.1429,0,"false"
12,1,0,7,81,47,6.75,71,41,5.91667,10,6,0.833333,335.286,133.847,"false"
31,0,0,4,472,105,15.2258,674,378,21.7419,-202,75,-6.51613,104.286,27.5042,"false"
17,0,3,1,126,23,7.41176,397,326,23.3529,-271,22,-15.9412,52.4286,10.4875,"false"
36,0,0,5,176,17,4.88889,208,37,5.77778,-32,15,-0.888889,240.714,65.1428,"false"
39,0,2,4,627,185,16.0769,417,91,10.6923,210,185,5.38462,155.429,41.0601,"true"
5,0,0,3,15,11,3,13,11,2.6,2,1,0.4,128.143,83.4857,"true"
15,0,0,3,440,191,29.3333,68,45,4.53333,372,191,24.8,156.429,13.2305,"true"
61,1,1,8,592,62,9.70492,743,176,12.1803,-151,53,-2.47541,335.286,156.247,"true"
18,1,0,5,706,157,39.2222,268,160,14.8889,438,121,24.3333,151.143,60.9278,"false"
6,1,0,3,22,10,3.66667,9,6,1.5,13,10,2.16667,169,74.5844,"false"
3,0,0,3,21,11,7,19,19,6.33333,2,10,0.666667,128.429,49.8639,"false"
