run,F-measure,AUC,Matthews
1,0.2267676767676768,0.8009475459816853,0.17625641363424996
2,0.2911904761904762,0.7839830124730311,0.2687465931333616
3,0.29166666666666663,0.7854610376408628,0.27509188183527866
4,0.3574747474747475,0.8327941961326278,0.3219491209799382
5,0.2571428571428572,0.8336709770114943,0.2358998238350675
6,0.2694871794871795,0.7419006215451204,0.2388092487200615
7,0.23893162393162395,0.8325697171124342,0.2248064979443581
8,0.3932539682539683,0.8285180799069888,0.3959479035744581
9,0.29301587301587306,0.7864391146057977,0.26276549303088337
10,0.3668253968253968,0.8230462160594847,0.3614099172301295
11,0.33398268398268394,0.7839241568083735,0.309690571464648
12,0.32666666666666666,0.8167635532185032,0.29398771115373856
13,0.3145454545454546,0.8052691645623765,0.2934601501003453
14,0.3815873015873016,0.7813526896095682,0.3612332505431228
15,0.34095238095238106,0.7907012054037917,0.3217496140317276
16,0.4015151515151516,0.8177994098693023,0.3729321729027829
17,0.3342857142857143,0.748809185767289,0.30523691471039177
18,0.2701587301587301,0.8131046907521562,0.23657216838506906
19,0.22666666666666666,0.7741231230047484,0.19573747347448944
20,0.3177849927849928,0.8022979428945881,0.2865745497118053
21,0.3321428571428572,0.8206033437568576,0.3028518894859026
22,0.24,0.7548700554605838,0.20353463931561144
23,0.2398717948717949,0.7971218160470107,0.19077710467493345
24,0.24158730158730166,0.7838616397649497,0.21458391758608647
25,0.2761904761904762,0.7810343760182469,0.24775443705957015
26,0.3827777777777778,0.7841030114758514,0.3504570737306069
27,0.31160173160173155,0.7706977748779763,0.2859940528884285
28,0.3334920634920635,0.8239073113874935,0.299051347022185
29,0.3415873015873016,0.7671584657567816,0.3145271432067574
30,0.23272727272727275,0.8034402077546561,0.1919150952826112
31,0.2785714285714286,0.7818095692472729,0.24327962533714614
32,0.24343434343434345,0.7582508295924633,0.19951320850466192
33,0.3363636363636364,0.7448064597211117,0.2947597630501529
34,0.38928571428571423,0.8016434682124443,0.38452027603823136
35,0.3330303030303029,0.8026083414793093,0.3143378470388684
36,0.3559523809523809,0.7768556645430951,0.33985398889852303
37,0.2574603174603175,0.7899526189430316,0.23504409025842565
38,0.37301587301587297,0.8299180486736104,0.36104896626960026
39,0.30326839826839824,0.7816474057432323,0.27188477862676724
40,0.3103174603174604,0.8229543137155761,0.28234430489996154
41,0.19714285714285715,0.7868316999247199,0.1454676918129542
42,0.3019047619047619,0.8389896216551136,0.28145111026782704
43,0.2520779220779221,0.8437860578973895,0.21542696487536733
44,0.4126984126984127,0.8309301058745541,0.4020156147835504
45,0.3942857142857143,0.8173853158809955,0.3793433137848925
46,0.2369047619047619,0.8088523820979545,0.20184072191352495
47,0.35463203463203463,0.7793762303232549,0.3171516946634202
48,0.4138095238095237,0.8153561759344172,0.4241657086157573
49,0.3026190476190477,0.7970157747470512,0.29417837288816423
50,0.3071428571428571,0.7868103139290569,0.2799249937451297
51,0.29666666666666663,0.7845557472989195,0.2695964487139376
52,0.3794444444444444,0.7788516379855613,0.3569968934339188
53,0.2879653679653679,0.7716356738489076,0.2608717931537971
54,0.245,0.7936028457545421,0.20285165784510864
55,0.2849206349206349,0.7935743829423265,0.2494099596005753
56,0.29523809523809524,0.7985660014250079,0.2505530671224251
57,0.31,0.8179135740047865,0.2721986422978809
58,0.2863492063492064,0.7627827459257637,0.2515606101482987
59,0.17619047619047618,0.7810839604659069,0.13333478623918865
60,0.2,0.7598121198401272,0.16628837145967704
61,0.2344444444444445,0.7976570427780105,0.2159828823516546
62,0.22333333333333333,0.7653381818413144,0.17007525521311045
63,0.31158730158730163,0.7764688291738983,0.29555297797586666
64,0.3163492063492063,0.8102904549527533,0.2868845353430673
65,0.2761538461538461,0.7878781101175427,0.2476127783838477
66,0.3071428571428572,0.8006584092619251,0.26936512750124203
67,0.20903263403263408,0.7807260445891372,0.17412166434173335
68,0.2331168831168831,0.8016654315870684,0.21435763610601874
69,0.3002380952380953,0.7499547660892601,0.278983566701433
70,0.3828571428571429,0.8114478560055837,0.3672694930186064
71,0.32182539682539685,0.8069946236559141,0.2894924933701818
